1799,1807,22
1799,1809,26
1807,1799,22
1807,1236,22
1236,1807,22
1236,1234,25
1234,1236,25
1234,1829,34
1829,1234,34
1829,1832,39
1829,1827,49
1829,1832,39
1832,1829,39
1832,1836,26
1832,1829,39
1832,1717,26
1832,1715,35
1836,1832,26
1836,1837,16
1837,1836,16
1837,10245,16
10245,1837,16
10245,1870,12
1870,10245,12
1870,1868,15
1868,1870,15
1868,1233,12
1233,1868,12
1233,1753,17
1753,1233,17
1753,1754,41
1754,1753,41
1754,1761,39
1761,1754,39
1761,1759,56
1759,1761,56
1759,1757,56
1757,1759,56
1757,1725,66
1725,1757,66
1725,1727,56
1727,1725,56
1727,1728,49
1728,1727,49
1728,1731,43
1731,1728,43
1731,4770,53
4770,1731,53
4770,4771,52
4771,4770,52
4771,1741,45
1741,4771,45
1741,10497,35
10497,1741,35
10497,2205,46
1827,1825,40
1827,1829,49
1682,1694,25
1682,1684,44
1682,1689,44
1694,1682,25
1694,1697,24
1694,1693,33
1694,1697,24
1697,1694,24
1697,1698,21
1697,1694,24
1697,1698,21
1698,1697,21
1698,1666,21
1698,1697,21
1698,1666,21
1666,1698,21
1666,2205,37
1666,1698,21
1666,1662,21
1809,1799,26
1809,1812,22
1812,1809,22
1812,1813,22
1813,1812,22
1813,1817,22
1817,1813,22
1817,1819,30
1819,1817,30
1819,1821,27
1821,1819,27
1821,1823,27
1823,1821,27
1823,1825,34
1825,1823,34
1825,1827,40
1717,1832,26
1717,1719,35
1719,1717,35
1719,1721,42
1721,1719,42
1721,1723,40
1723,1721,40
1723,1686,40
1686,1723,40
1686,1684,44
1684,1686,44
1684,1682,44
1689,1682,44
1689,1687,44
1687,1689,44
1687,1693,44
1693,1687,44
1693,1694,33
1715,1832,35
1715,1710,12
1710,1715,12
1710,1708,15
1708,1710,15
1708,1640,19
1640,1708,19
1640,1705,26
1705,1640,26
1705,1662,21
1662,1705,21
1662,1666,21
-1,1821,32
-1,1827,34
-1,1817,30
-2,1682,44
-2,1754,45
